,real_latitude,real_longitude,predicted_latitude,predicted_longitude,error[meters]
0,2.450337,-76.625764,2.4501760347414,-76.62568539132,19.920945161701482
1,2.450452,-76.626531,2.4503420624237,-76.6263564516,22.929267244289914
2,2.450444,-76.627006,2.4506511112087,-76.62727060178,37.353011507351546
3,2.450571,-76.6279,2.4507139680843,-76.62813060406,30.158705389875543
4,2.450924,-76.62859,2.4508290537373,-76.62867827262,14.41339571143773
5,2.451369,-76.629403,2.4510453538666,-76.62912087038,47.73646030572705
6,2.451723,-76.630034,2.451312697139,-76.62947346433,77.21809231199123
7,2.452084,-76.630672,2.4516711042896,-76.62992311736,95.05009421495937
8,2.452385,-76.631187,2.4520524371965,-76.63050895705,83.93704765555147
9,2.452407,-76.631223,2.452456115555,-76.63116151858,8.747633951156486
10,2.452406,-76.631222,2.4525519953537,-76.63153372785,38.25778715267754
11,2.452418,-76.631256,2.4524890069288,-76.63170285435,50.28056783492767
12,2.452578,-76.631569,2.4524826360893,-76.63172780812,20.589815082181566
13,2.452651,-76.631707,2.4523690718763,-76.63170379437,31.359835093223218
14,2.45265,-76.631706,2.4521718534918,-76.63172815278,53.23939312370561
15,2.45265,-76.631706,2.4519597977707,-76.6318598729,78.64983932749921
16,2.45265,-76.631706,2.4515266300579,-76.6319781,128.5547993191054
17,2.45265,-76.631706,2.4508319116365,-76.63191919525,203.60223025485152
18,2.45265,-76.631706,2.4502834874935,-76.63173474888,263.23773044355346
19,2.452547,-76.632009,2.4498469536076,-76.63157762456,304.11780493494604
20,2.451686,-76.631998,2.4493547953501,-76.63109223394,278.14189329293146
21,2.451343,-76.631922,2.4489080249701,-76.63080054065,298.12946342531023
22,2.450901,-76.631484,2.4484704219504,-76.6305250922,290.5866548727924
23,2.450511,-76.631208,2.4480296676665,-76.63034996708,291.99565860630884
24,2.449903,-76.630965,2.4476750304675,-76.63016763606,263.1735816009814
25,2.449467,-76.630774,2.4473232440661,-76.62989960769,257.4799386082494
26,2.449943,-76.625275,2.4496040563477,-76.62584657494,73.86159484336294
27,2.44994,-76.625263,2.4493870764908,-76.62538583702,62.99627924650625
28,2.449939,-76.625259,2.4491833851386,-76.62496047855,90.35421480546597
29,2.449829,-76.625052,2.4490374038393,-76.62460511971,101.08513791701422
30,2.449408,-76.624437,2.4489738712942,-76.62444375298,48.29234470661882
31,2.44907,-76.623946,2.4487306084694,-76.62426825904,52.03296071423092
32,2.448682,-76.623304,2.4486833205675,-76.6242554334,105.72785478730978
33,2.448301,-76.622671,2.4486557966741,-76.62442043401,198.37023512597722
34,2.448157,-76.622302,2.4486557966741,-76.62442043401,241.85947612071075
35,2.448184,-76.622306,2.448671217528,-76.62458787515,259.29875152298587
36,2.448188,-76.622288,2.4488720308597,-76.62482347966,291.84597381679987
37,2.448413,-76.622617,2.4493001141427,-76.62509550548,292.56410531539007
38,2.448745,-76.623218,2.4497335131658,-76.62532478405,258.64809836570845
